id,created_at,user_country,age,campaign_source,device,budget_created_at,autosave_created_at,subscription_created_at
1083806,16/03/2019,GB,19,Friend Referral,ios,06/09/2019,18/04/2019,01/09/2019
1091483,19/03/2019,GB,34,Influencer,ios,19/03/2019,28/03/2019,26/03/2019
1093766,19/03/2019,US,33,Influencer,messenger,,,15/05/2019
1095685,20/03/2019,US,29,Influencer,ios,30/03/2019,,26/03/2019
1099172,21/03/2019,US,25,Facebook Ads: Overdraft Fees,messenger,,,23/08/2019
1100801,21/03/2019,US,31,Influencer,android,,,07/04/2019
1110262,25/03/2019,US,21,Facebook Ads: Overdraft Fees,android,25/03/2019,,25/03/2019
1114305,26/03/2019,US,22,Facebook Ads: Overdraft Fees,android,26/03/2019,,30/04/2019
1122524,29/03/2019,US,38,Influencer,messenger,29/03/2019,,24/09/2019
1123567,29/03/2019,US,34,Influencer,android,,,04/04/2019
1125065,30/03/2019,US,34,Influencer,messenger,,,18/04/2019
1127179,30/03/2019,US,39,Facebook Ads: Overdraft Fees,messenger,,,15/05/2019
1128493,31/03/2019,US,49,Influencer,messenger,,,12/04/2019
1130055,31/03/2019,US,36,Facebook Ads: Overdraft Fees,messenger,31/03/2019,,31/03/2019
1130266,31/03/2019,US,33,Facebook Ads: Overdraft Fees,ios,15/05/2019,,25/05/2019
1130680,31/03/2019,US,37,Facebook Ads: Overdraft Fees,messenger,,,01/04/2019
1133217,01/04/2019,US,28,Facebook Ads: Overdraft Fees,messenger,,,12/04/2019
1133748,02/04/2019,US,29,Facebook Ads: Overdraft Fees,ios,,,27/05/2019
1140990,05/04/2019,US,24,Facebook Ads: Overdraft Fees,messenger,05/04/2019,,23/04/2019
1145991,07/04/2019,US,38,Facebook Ads: Overdraft Fees,messenger,,,15/05/2019
1149077,08/04/2019,US,43,Facebook Ads: Overdraft Fees,messenger,08/04/2019,,15/05/2019
1151640,09/04/2019,US,27,Influencer,android,09/04/2019,,19/05/2019
1152501,09/04/2019,GB,27,Influencer,ios,29/09/2019,11/04/2019,29/09/2019
1155520,10/04/2019,US,38,Influencer,android,,,16/05/2019
1159821,11/04/2019,US,23,Influencer,ios,11/04/2019,,11/04/2019
1163402,13/04/2019,US,30,Influencer,ios,,,30/04/2019
1164440,13/04/2019,US,22,Influencer,android,,,26/04/2019
1167427,14/04/2019,US,40,Influencer,messenger,,,24/04/2019
1173132,16/04/2019,GB,30,Influencer,android,16/04/2019,,16/04/2019
1175359,17/04/2019,US,24,Influencer,android,,,30/05/2019
1178466,17/04/2019,US,30,Influencer,android,25/04/2019,,02/05/2019
1191488,21/04/2019,US,31,Influencer,ios,,,21/04/2019
1197241,22/04/2019,GB,29,Facebook Ads: Overdraft Fees,messenger,,,23/05/2019
1205080,24/04/2019,GB,29,Facebook Ads: Overdraft Fees,messenger,,,19/08/2019
1209046,25/04/2019,GB,28,Facebook Ads: Overdraft Fees,android,,,26/04/2019
1211851,26/04/2019,US,28,Influencer,ios,26/04/2019,,02/06/2019
1216759,28/04/2019,US,35,Facebook Ads: Overdraft Fees,messenger,,,28/04/2019
1216958,28/04/2019,US,33,Facebook Ads: Overdraft Fees,ios,28/04/2019,,28/04/2019
1226254,01/05/2019,GB,29,Friend Referral,ios,,,15/05/2019
1232285,03/05/2019,US,29,Influencer,messenger,03/05/2019,,01/06/2019
1232887,04/05/2019,US,32,Influencer,messenger,04/05/2019,,21/06/2019
1233712,04/05/2019,US,24,Facebook Ads: Overdraft Fees,ios,12/07/2019,,03/07/2019
1240682,07/05/2019,US,32,Influencer,android,,,07/05/2019
1249632,11/05/2019,GB,27,Influencer,ios,15/06/2019,,23/06/2019
1250298,11/05/2019,US,47,Facebook Ads: Overdraft Fees,messenger,,,25/06/2019
1252032,12/05/2019,US,47,Facebook Ads: Overdraft Fees,messenger,,,30/05/2019
1273652,19/05/2019,US,35,Facebook Ads: Overdraft Fees,messenger,,,20/05/2019
1277542,20/05/2019,US,43,Facebook Ads: Overdraft Fees,messenger,,,30/05/2019
860297,02/01/2019,GB,47,Influencer,android,02/01/2019,,01/02/2019
868210,05/01/2019,GB,26,Friend Referral,messenger,,,05/01/2019
872130,07/01/2019,US,27,Influencer,messenger,07/01/2019,,12/07/2019
890961,13/01/2019,GB,22,Friend Referral,messenger,,,13/01/2019
891730,13/01/2019,GB,22,Influencer,messenger,13/01/2019,,15/01/2019
896677,15/01/2019,GB,31,Influencer,messenger,,,29/01/2019
898371,15/01/2019,GB,36,Friend Referral,messenger,,,16/01/2019
913807,21/01/2019,GB,24,Friend Referral,ios,,,03/05/2019
932016,26/01/2019,GB,22,Facebook Ads: General,messenger,26/01/2019,,07/02/2019
932640,27/01/2019,US,37,Facebook Ads: General,messenger,27/01/2019,,24/05/2019
978047,12/02/2019,US,27,Influencer,ios,12/02/2019,28/03/2019,20/02/2019
979696,13/02/2019,US,26,Facebook Ads: Overdraft Fees,messenger,13/02/2019,,14/02/2019
981034,13/02/2019,US,32,Facebook Ads: Overdraft Fees,messenger,,,11/07/2019
985161,14/02/2019,US,28,Facebook Ads: Overdraft Fees,messenger,08/04/2019,,08/05/2019
985205,14/02/2019,US,30,Facebook Ads: Overdraft Fees,messenger,28/03/2019,,28/03/2019
986883,14/02/2019,US,24,Facebook Ads: Overdraft Fees,ios,,,14/02/2019
988898,15/02/2019,US,34,Friend Referral,messenger,,,15/02/2019
991127,15/02/2019,GB,28,Friend Referral,messenger,,,17/08/2019
1003639,19/02/2019,US,27,Facebook Ads: Overdraft Fees,messenger,19/02/2019,,19/02/2019
1006074,20/02/2019,US,33,Facebook Ads: Overdraft Fees,messenger,,,06/05/2019
1008920,21/02/2019,GB,40,Facebook Ads: General,ios,23/03/2019,,17/08/2019
1015539,23/02/2019,US,29,Facebook Ads: Overdraft Fees,ios,23/02/2019,,01/04/2019
1017382,24/02/2019,US,29,Facebook Ads: Overdraft Fees,messenger,,,28/03/2019
1018336,24/02/2019,US,29,Facebook Ads: Overdraft Fees,messenger,24/02/2019,,25/02/2019
1019978,25/02/2019,GB,25,Influencer,messenger,,,25/02/2019
1022314,25/02/2019,US,31,Influencer,messenger,,,18/04/2019
1026687,27/02/2019,US,27,Facebook Ads: Overdraft Fees,messenger,20/05/2019,,29/03/2019
1029408,27/02/2019,US,31,Influencer,messenger,27/02/2019,,27/02/2019
1029795,27/02/2019,US,23,Facebook Ads: Overdraft Fees,messenger,27/02/2019,,27/02/2019
1035310,01/03/2019,US,32,Facebook Ads: General,messenger,01/03/2019,,01/03/2019
1037537,02/03/2019,US,34,Facebook Ads: Overdraft Fees,messenger,02/03/2019,,04/03/2019
1040388,03/03/2019,US,28,Influencer,ios,19/03/2019,28/03/2019,13/04/2019
1042894,04/03/2019,GB,19,Facebook Ads: General,messenger,19/09/2019,,19/09/2019
1045988,05/03/2019,US,29,Facebook Ads: Overdraft Fees,messenger,09/04/2019,,04/04/2019
1056465,08/03/2019,US,44,Facebook Ads: Overdraft Fees,messenger,08/03/2019,,09/05/2019
1060490,09/03/2019,US,31,Facebook Ads: Overdraft Fees,messenger,17/07/2019,,30/03/2019
1062210,10/03/2019,US,36,Facebook Ads: Overdraft Fees,ios,13/03/2019,,05/04/2019
1062696,10/03/2019,US,36,Influencer,android,10/03/2019,,22/05/2019
1069120,12/03/2019,US,36,Facebook Ads: Overdraft Fees,messenger,,,27/03/2019
1071158,13/03/2019,US,28,Influencer,android,19/03/2019,,27/03/2019
1077828,15/03/2019,GB,27,Influencer,messenger,,,15/03/2019
1085160,17/03/2019,US,52,Facebook Ads: Overdraft Fees,messenger,,,27/03/2019
1093990,19/03/2019,US,32,Facebook Ads: Overdraft Fees,messenger,,,17/06/2019
1100170,21/03/2019,US,34,Influencer,ios,,,08/04/2019
1103863,23/03/2019,US,31,Influencer,messenger,23/03/2019,,19/04/2019
1105458,23/03/2019,US,29,Facebook Ads: Overdraft Fees,android,,,19/04/2019
1110216,25/03/2019,US,28,Influencer,messenger,,,06/04/2019
1112625,26/03/2019,US,36,Influencer,ios,29/03/2019,,31/03/2019
1118345,28/03/2019,US,27,Facebook Ads: Overdraft Fees,messenger,28/03/2019,,15/04/2019
1122410,29/03/2019,US,30,Influencer,ios,09/04/2019,,02/04/2019
1122762,29/03/2019,US,28,Influencer,android,,,24/05/2019
1123174,29/03/2019,US,39,Facebook Ads: Overdraft Fees,android,,,31/03/2019
1125558,30/03/2019,US,38,Facebook Ads: Overdraft Fees,ios,,,27/10/2019
1125643,30/03/2019,US,49,Facebook Ads: Overdraft Fees,android,31/03/2019,,30/03/2019
1131148,01/04/2019,US,25,Influencer,ios,,,01/04/2019
1134856,02/04/2019,US,41,Facebook Ads: Overdraft Fees,ios,,13/06/2019,12/04/2019
1141604,05/04/2019,US,25,Facebook Ads: Overdraft Fees,messenger,23/08/2019,,15/05/2019
1142093,05/04/2019,US,45,Facebook Ads: Overdraft Fees,messenger,,,11/07/2019
1143203,06/04/2019,US,40,Facebook Ads: Overdraft Fees,messenger,,,22/04/2019
1144486,06/04/2019,US,34,Facebook Ads: Overdraft Fees,messenger,,,05/06/2019
1145147,06/04/2019,US,42,Facebook Ads: Overdraft Fees,messenger,,,15/04/2019
1149954,08/04/2019,US,31,Influencer,ios,15/07/2019,,15/07/2019
1151099,08/04/2019,US,46,Influencer,messenger,14/04/2019,,18/04/2019
1153217,09/04/2019,US,35,Influencer,ios,,,09/04/2019
1157391,10/04/2019,US,24,Influencer,ios,05/06/2019,,10/04/2019
1158090,10/04/2019,GB,38,Facebook Ads: Overdraft Fees,messenger,10/04/2019,,07/05/2019
1163517,13/04/2019,US,28,Influencer,android,21/04/2019,,21/04/2019
1170540,15/04/2019,US,38,Influencer,android,16/05/2019,,16/05/2019
1181623,18/04/2019,US,23,Influencer,ios,,16/05/2019,13/05/2019
1184313,19/04/2019,GB,23,Influencer,ios,19/04/2019,,19/04/2019
1188427,20/04/2019,GB,26,Influencer,android,27/10/2019,,10/09/2019
1196509,22/04/2019,GB,21,Influencer,messenger,30/04/2019,,31/08/2019
1212187,26/04/2019,US,43,Facebook Ads: Overdraft Fees,messenger,,,18/05/2019
1213326,26/04/2019,US,37,Facebook Ads: Overdraft Fees,messenger,,18/07/2019,10/05/2019
1219204,29/04/2019,US,23,Facebook Ads: Overdraft Fees,ios,29/04/2019,,29/04/2019
1225482,01/05/2019,US,35,Facebook Ads: Overdraft Fees,ios,30/05/2019,,21/05/2019
1227105,01/05/2019,GB,52,Friend Referral,android,28/05/2019,,08/07/2019
1230921,03/05/2019,US,35,Influencer,ios,03/05/2019,,10/05/2019
1247128,10/05/2019,US,27,Facebook Ads: Overdraft Fees,android,,,16/11/2019
1251045,11/05/2019,US,31,Influencer,ios,25/05/2019,,16/06/2019
1252084,12/05/2019,US,54,Influencer,ios,,,20/06/2019
1254091,12/05/2019,US,53,Facebook Ads: Overdraft Fees,messenger,,,31/05/2019
1263308,15/05/2019,US,39,Facebook Ads: Overdraft Fees,ios,,,23/05/2019
1274079,19/05/2019,GB,20,Friend Referral,messenger,14/06/2019,,07/07/2019
1281042,21/05/2019,US,34,Influencer,messenger,16/09/2019,,24/11/2019
1294528,25/05/2019,US,49,Facebook Ads: Overdraft Fees,messenger,,,11/07/2019
1300436,27/05/2019,US,43,Influencer,ios,04/06/2019,,09/06/2019
1300649,27/05/2019,US,47,Facebook Ads: Overdraft Fees,ios,28/05/2019,,22/06/2019
1301552,27/05/2019,US,32,Facebook Ads: Overdraft Fees,messenger,,,05/06/2019
1302095,28/05/2019,US,26,Influencer,android,03/06/2019,,10/06/2019
1318843,01/06/2019,GB,20,Friend Referral,messenger,,,21/08/2019
1333955,05/06/2019,US,29,Influencer,ios,,,05/10/2019
1336283,06/06/2019,GB,19,Influencer,messenger,13/07/2019,,27/10/2019
1336879,06/06/2019,US,35,Influencer,android,08/07/2019,27/06/2019,18/06/2019
1348222,10/06/2019,US,49,Facebook Ads: Overdraft Fees,ios,,,10/06/2019
1371214,16/06/2019,US,40,Facebook Ads: Overdraft Fees,messenger,,,27/06/2019
862989,03/01/2019,GB,19,Facebook Ads: General,messenger,03/01/2019,,15/01/2019
865402,04/01/2019,GB,45,Friend Referral,messenger,,17/01/2019,05/01/2019
868461,05/01/2019,GB,27,Facebook Ads: General,android,05/01/2019,,16/01/2019
897366,15/01/2019,GB,23,Facebook Ads: General,messenger,15/01/2019,,15/01/2019
898892,16/01/2019,GB,22,Friend Referral,android,12/03/2019,,12/03/2019
905771,18/01/2019,GB,36,Facebook Ads: General,messenger,18/01/2019,,31/01/2019
923277,24/01/2019,GB,25,Friend Referral,messenger,24/01/2019,,24/01/2019
940884,29/01/2019,GB,20,Friend Referral,messenger,29/01/2019,,29/01/2019
942251,29/01/2019,GB,21,Friend Referral,android,29/01/2019,17/10/2019,30/01/2019
948552,31/01/2019,GB,21,Friend Referral,ios,31/01/2019,,26/11/2019
950981,01/02/2019,GB,23,Influencer,messenger,,,01/02/2019
968472,10/02/2019,US,30,Facebook Ads: Overdraft Fees,ios,10/02/2019,,21/02/2019
971930,11/02/2019,US,26,Influencer,messenger,11/02/2019,,12/02/2019
976197,12/02/2019,US,27,Influencer,messenger,12/02/2019,,12/02/2019
978630,12/02/2019,US,36,Facebook Ads: Overdraft Fees,ios,,,20/02/2019
979585,13/02/2019,US,27,Facebook Ads: Overdraft Fees,messenger,25/02/2019,,07/03/2019
991332,15/02/2019,US,36,Influencer,ios,15/02/2019,,15/02/2019
991597,15/02/2019,US,25,Friend Referral,messenger,19/02/2019,,19/02/2019
999669,18/02/2019,US,29,Facebook Ads: Overdraft Fees,android,18/02/2019,,18/02/2019
1003219,19/02/2019,US,30,Facebook Ads: Overdraft Fees,ios,19/02/2019,,19/02/2019
1014321,23/02/2019,US,30,Facebook Ads: Overdraft Fees,messenger,,,23/02/2019
1015018,23/02/2019,US,30,Facebook Ads: Overdraft Fees,android,23/02/2019,,22/11/2019
1017307,24/02/2019,US,37,Influencer,messenger,07/03/2019,03/10/2019,16/04/2019
1018993,25/02/2019,US,31,Facebook Ads: General,messenger,25/02/2019,,28/02/2019
1021406,25/02/2019,US,41,Facebook Ads: Overdraft Fees,messenger,,,25/02/2019
1021868,25/02/2019,US,29,Influencer,ios,,,17/11/2019
1025316,26/02/2019,US,36,Facebook Ads: Overdraft Fees,android,,,16/04/2019
1027535,27/02/2019,US,31,Influencer,messenger,27/02/2019,,08/07/2019
1030021,27/02/2019,US,32,Facebook Ads: Overdraft Fees,ios,27/02/2019,,26/08/2019
1030871,28/02/2019,US,32,Facebook Ads: Overdraft Fees,messenger,,,27/02/2019
1035714,01/03/2019,US,30,Facebook Ads: General,ios,01/03/2019,,26/03/2019
1039940,03/03/2019,US,25,Influencer,ios,11/03/2019,,15/06/2019
1041045,03/03/2019,US,22,Influencer,ios,22/05/2019,,28/03/2019
1045136,05/03/2019,US,29,Influencer,messenger,,,24/05/2019
1054453,07/03/2019,GB,29,Facebook Ads: Overdraft Fees,messenger,07/03/2019,18/04/2019,01/04/2019
1056802,08/03/2019,US,26,Influencer,messenger,,,29/07/2019
1065853,11/03/2019,GB,23,Influencer,messenger,11/03/2019,,11/03/2019
1066287,11/03/2019,US,30,Influencer,ios,11/03/2019,,12/03/2019
1068193,12/03/2019,US,29,Influencer,android,,,26/03/2019
1069732,12/03/2019,GB,26,Facebook Ads: Overdraft Fees,messenger,,,09/04/2019
1071380,13/03/2019,GB,25,Facebook Ads: Overdraft Fees,messenger,,,06/06/2019
1075111,14/03/2019,US,25,Facebook Ads: General,ios,14/03/2019,,25/06/2019
1081102,16/03/2019,US,29,Influencer,ios,21/03/2019,,29/03/2019
1081607,16/03/2019,GB,25,Influencer,messenger,16/03/2019,,11/04/2019
1083059,16/03/2019,US,28,Influencer,ios,,16/05/2019,17/03/2019
1088254,18/03/2019,US,28,Influencer,ios,,,21/04/2019
1092689,19/03/2019,GB,22,Facebook Ads: Overdraft Fees,ios,,,11/04/2019
1107025,24/03/2019,US,24,Influencer,ios,24/03/2019,,18/10/2019
1107442,24/03/2019,US,30,Facebook Ads: Overdraft Fees,messenger,24/03/2019,,15/05/2019
1109617,25/03/2019,US,27,Facebook Ads: Overdraft Fees,messenger,09/04/2019,,02/04/2019
1111761,26/03/2019,US,23,Facebook Ads: Overdraft Fees,messenger,,,21/04/2019
1114188,26/03/2019,US,34,Facebook Ads: Overdraft Fees,messenger,,,24/06/2019
1117065,27/03/2019,US,27,Influencer,ios,04/04/2019,,16/04/2019
1122530,29/03/2019,US,20,Influencer,ios,11/05/2019,31/10/2019,17/05/2019
1126501,30/03/2019,US,47,Influencer,ios,04/04/2019,,23/04/2019
1127016,30/03/2019,US,34,Facebook Ads: Overdraft Fees,messenger,30/03/2019,,08/05/2019
1127769,30/03/2019,US,41,Facebook Ads: Overdraft Fees,ios,04/04/2019,,05/04/2019
1130147,31/03/2019,US,43,Facebook Ads: Overdraft Fees,android,,,05/04/2019
1130698,01/04/2019,US,39,Facebook Ads: Overdraft Fees,messenger,15/04/2019,,19/04/2019
1135195,02/04/2019,GB,57,Friend Referral,messenger,03/04/2019,,02/04/2019
1137607,03/04/2019,US,47,Facebook Ads: Overdraft Fees,messenger,26/04/2019,,22/04/2019
1139418,04/04/2019,US,29,Facebook Ads: Overdraft Fees,messenger,,,17/04/2019
1140925,05/04/2019,US,33,Facebook Ads: Overdraft Fees,messenger,,,05/04/2019
1142571,05/04/2019,US,33,Influencer,messenger,05/04/2019,,05/05/2019
1147330,07/04/2019,US,27,Facebook Ads: Overdraft Fees,messenger,,,21/04/2019
1162977,12/04/2019,US,24,Facebook Ads: Overdraft Fees,messenger,10/05/2019,,12/04/2019
1163999,13/04/2019,GB,24,Facebook Ads: Overdraft Fees,messenger,,,22/09/2019
1164731,13/04/2019,US,31,Influencer,android,,,13/06/2019
1165663,13/04/2019,US,30,Influencer,ios,13/04/2019,,18/05/2019
1166618,14/04/2019,US,47,Influencer,android,13/07/2019,,10/08/2019
1169196,15/04/2019,US,42,Facebook Ads: Overdraft Fees,messenger,01/05/2019,,03/05/2019
1169265,15/04/2019,GB,40,Influencer,messenger,,,15/04/2019
1171432,16/04/2019,US,19,Facebook Ads: General,messenger,,,02/05/2019
1174362,16/04/2019,US,36,Influencer,ios,16/04/2019,,07/05/2019
1176013,17/04/2019,US,24,Influencer,ios,29/11/2019,,05/11/2019
1176543,17/04/2019,US,24,Influencer,messenger,17/04/2019,,17/04/2019
1177925,17/04/2019,US,23,Facebook Ads: General,messenger,30/04/2019,,10/06/2019
1178849,17/04/2019,US,22,Facebook Ads: Overdraft Fees,messenger,17/04/2019,,02/05/2019
1180923,18/04/2019,US,43,Influencer,ios,10/12/2019,,19/11/2019
1211825,26/04/2019,US,43,Facebook Ads: Overdraft Fees,android,21/05/2019,29/08/2019,28/04/2019
1219076,29/04/2019,US,26,Facebook Ads: General,ios,06/09/2019,,14/08/2019
1219353,29/04/2019,US,31,Facebook Ads: Overdraft Fees,messenger,,,23/01/2020
1222772,30/04/2019,US,32,Facebook Ads: Overdraft Fees,messenger,,,30/05/2019
1228460,02/05/2019,US,24,Facebook Ads: General,ios,05/05/2019,,04/05/2019
1234732,04/05/2019,US,26,Facebook Ads: Overdraft Fees,messenger,17/07/2019,,26/05/2019
1244460,09/05/2019,US,23,Facebook Ads: Overdraft Fees,messenger,09/05/2019,,10/05/2019
1253480,12/05/2019,US,30,Facebook Ads: Overdraft Fees,messenger,13/05/2019,,13/05/2019
1254024,12/05/2019,US,41,Facebook Ads: Overdraft Fees,messenger,,,19/06/2019
1259584,14/05/2019,US,20,Facebook Ads: General,messenger,,,10/08/2019
1282237,22/05/2019,US,24,Facebook Ads: Overdraft Fees,messenger,22/05/2019,,22/05/2019
1284934,22/05/2019,US,24,Influencer,messenger,,,22/05/2019
1299437,27/05/2019,US,41,Influencer,android,,,07/06/2019
1305707,28/05/2019,GB,29,Friend Referral,ios,28/05/2019,,23/07/2019
1329081,04/06/2019,US,23,Influencer,ios,04/06/2019,,05/07/2019
1333866,05/06/2019,US,35,Facebook Ads: Overdraft Fees,messenger,05/06/2019,21/06/2019,06/06/2019
858309,01/01/2019,GB,32,Friend Referral,messenger,,03/01/2019,04/01/2019
862795,03/01/2019,US,27,Facebook Ads: General,messenger,03/01/2019,,23/02/2019
903359,17/01/2019,GB,23,Friend Referral,messenger,24/07/2019,,17/01/2019
924970,24/01/2019,GB,21,Influencer,messenger,24/01/2019,,24/01/2019
933638,27/01/2019,GB,25,Facebook Ads: General,ios,27/01/2019,31/01/2019,19/08/2019
941333,29/01/2019,GB,22,Friend Referral,ios,18/06/2019,,18/06/2019
945307,30/01/2019,GB,22,Influencer,messenger,,,30/01/2019
959505,06/02/2019,US,32,Facebook Ads: General,messenger,06/02/2019,,21/02/2019
959625,06/02/2019,GB,41,Influencer,messenger,06/02/2019,,06/02/2019
965080,08/02/2019,GB,24,Influencer,messenger,15/03/2019,,13/03/2019
989322,15/02/2019,US,24,Facebook Ads: Overdraft Fees,messenger,15/02/2019,,15/02/2019
990589,15/02/2019,US,24,Influencer,messenger,,,16/03/2019
992904,16/02/2019,US,24,Facebook Ads: Overdraft Fees,messenger,16/02/2019,,17/02/2019
996093,16/02/2019,US,27,Influencer,ios,,,08/04/2019
996232,16/02/2019,US,27,Facebook Ads: Overdraft Fees,messenger,,,30/03/2019
998132,17/02/2019,US,30,Facebook Ads: Overdraft Fees,ios,17/02/2019,,17/04/2019
1002330,18/02/2019,US,26,Facebook Ads: Overdraft Fees,messenger,,,15/03/2019
1007442,20/02/2019,US,26,Facebook Ads: Overdraft Fees,messenger,20/02/2019,,25/02/2019
1011753,22/02/2019,US,25,Facebook Ads: Overdraft Fees,messenger,22/02/2019,,26/02/2019
1015756,23/02/2019,US,36,Facebook Ads: Overdraft Fees,ios,17/04/2019,,17/04/2019
1017222,24/02/2019,US,31,Facebook Ads: Overdraft Fees,messenger,,,17/04/2019
1019634,25/02/2019,US,36,Influencer,messenger,,,15/05/2019
1020687,25/02/2019,US,36,Facebook Ads: Overdraft Fees,messenger,,,29/10/2019
1020758,25/02/2019,US,43,Facebook Ads: Overdraft Fees,messenger,25/02/2019,,05/03/2019
1024306,26/02/2019,US,28,Influencer,ios,,,23/09/2019
1030686,28/02/2019,US,31,Facebook Ads: Overdraft Fees,ios,,04/07/2019,06/07/2019
1031372,28/02/2019,GB,22,Influencer,messenger,28/02/2019,,04/04/2019
1036413,02/03/2019,US,32,Facebook Ads: Overdraft Fees,ios,11/03/2019,,02/03/2019
1038597,02/03/2019,US,37,Facebook Ads: Overdraft Fees,messenger,,,15/03/2019
1050654,06/03/2019,US,32,Facebook Ads: Overdraft Fees,messenger,06/03/2019,,15/03/2019
1053227,07/03/2019,US,24,Influencer,android,13/03/2019,,13/03/2019
1055318,08/03/2019,US,23,Influencer,ios,,06/06/2019,12/03/2019
1061470,10/03/2019,US,33,Influencer,ios,10/03/2019,,15/03/2019
1065089,11/03/2019,US,27,Influencer,ios,,,13/03/2019
1065994,11/03/2019,US,37,Facebook Ads: Overdraft Fees,messenger,,,20/03/2019
1071977,13/03/2019,US,34,Facebook Ads: Overdraft Fees,ios,13/03/2019,,13/03/2019
1074228,14/03/2019,US,44,Facebook Ads: Overdraft Fees,ios,02/01/2020,,02/01/2020
1082334,16/03/2019,GB,24,Friend Referral,messenger,16/03/2019,,16/03/2019
1083515,16/03/2019,US,32,Influencer,android,02/04/2019,,02/04/2019
1084288,17/03/2019,US,37,Facebook Ads: Overdraft Fees,messenger,22/03/2019,,23/04/2019
1087804,18/03/2019,US,27,Influencer,ios,,,01/05/2019
